City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
146,Barra Do Bugres,BR,68.43,few clouds,-15.0725,-57.1811,Hotel 4AM Petrofurt
147,Tucumcari,US,67.95,overcast clouds,35.1717,-103.725,"Holiday Inn Express & Suites Tucumcari, an IHG Hotel"
148,Puerto Padre,CU,77.18,overcast clouds,21.195,-76.6028,Casa Villa Velázquez
149,Ryotsu,JP,74.53,scattered clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
150,Owando,CG,69.24,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
151,Linxia,CN,78.44,overcast clouds,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
152,Atar,MR,77.18,light rain,20.5169,-13.0499,Oumou Elghoura
153,Miracema Do Tocantins,BR,71.2,broken clouds,-9.5618,-48.3967,Miami Apart Hotel
154,Coffs Harbour,AU,65.14,scattered clouds,-30.3,153.1333,Aquajet Motel
155,Skala,PL,69.8,clear sky,50.2305,19.8536,Jurajska 47
156,Harper,LR,76.78,light rain,4.375,-7.7169,Screensaver
157,Buchanan,LR,75.9,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
158,Nicoya,CR,73.44,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
159,Kultuk,RU,71.35,scattered clouds,51.7208,103.6956,"Hostel ""Viertikal'"""
160,Houma,US,82.99,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
161,Huilong,CN,81.32,scattered clouds,31.8111,121.655,Hilton Garden Inn Qidong
162,Remanso,BR,73.4,clear sky,-9.6179,-42.0831,Hotel Mangueira
163,Nakamura,JP,76.53,overcast clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
164,Ixtapa,MX,79.83,broken clouds,20.7,-105.2,hotel la terminal
165,Baruun-Urt,MN,73.44,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
166,Coruripe,BR,73.71,few clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
167,Rapid Valley,US,71.64,broken clouds,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
168,Caborca,MX,80.89,clear sky,30.5838,-111.101,Hotel Los Lagos
169,Makushino,RU,70.84,overcast clouds,55.2103,67.2442,Cristina Hotel
170,Fengcheng,CN,83.64,overcast clouds,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
171,Havelock,US,73.35,clear sky,34.8791,-76.9013,Sherwood Motel
172,Richards Bay,ZA,65.28,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
173,Kiunga,PG,81.05,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
174,Belle Fourche,US,68.54,overcast clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
175,Nijar,ES,67.66,clear sky,36.9665,-2.206,La Casa del Cine
