City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Carnarvon,AU,-24.8667,113.6333,71.55,56,0,11.9,clear sky
214,Hofn,IS,64.2539,-15.2082,53.96,76,46,9.64,scattered clouds
215,Bengkulu,ID,-3.8004,102.2655,80.96,78,51,9.1,broken clouds
216,Pauini,BR,-7.7136,-66.9764,69.91,81,19,1.23,few clouds
217,Scarborough,GB,54.2797,-0.4044,52.93,81,63,1.99,broken clouds
218,Hualmay,PE,-11.0964,-77.6139,61.02,84,24,12.1,few clouds
219,Hilo,US,19.7297,-155.09,76.73,80,75,5.75,broken clouds
220,Haines Junction,CA,60.7522,-137.5108,53.55,50,28,13.8,scattered clouds
221,Bakchar,RU,57.0186,82.0711,74.52,48,15,3.78,few clouds
222,Dhidhdhoo,MV,6.8833,73.1,82.11,76,83,12.46,broken clouds
223,Touros,BR,-5.1989,-35.4608,73.06,90,48,9.04,scattered clouds
224,Vallentuna,SE,59.5344,18.0776,58.15,87,75,6.91,broken clouds
225,Cabo San Lucas,MX,22.8909,-109.9124,81.61,85,51,2.68,broken clouds
226,Duluth,US,46.7833,-92.1066,77.07,72,0,4.61,clear sky
227,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,71.38,99,78,2.55,broken clouds
228,Labuhan,ID,-6.8844,112.2051,85.91,65,32,3.78,scattered clouds
229,Broome,US,42.2506,-75.833,50.36,81,2,1.01,clear sky
230,Hami,CN,42.8,93.45,90.68,13,100,9.55,overcast clouds
231,Enshi,CN,30.3,109.4833,88.2,67,73,1.7,broken clouds
232,Huanren,CN,41.2647,125.3667,85.78,46,18,7.56,few clouds
233,Kaitangata,NZ,-46.2817,169.8464,43.7,86,55,0.94,broken clouds
234,Mirnyy,RU,62.5353,113.9611,42.24,93,100,15.99,overcast clouds
235,Tim,RU,51.6222,37.1244,67.68,79,1,14.58,clear sky
236,Tilichiki,RU,60.4667,166.1,48.9,81,98,5.35,overcast clouds
237,Constitucion,CL,-35.3333,-72.4167,50.67,63,100,3.36,overcast clouds
238,Alghero,IT,40.5589,8.3181,66.29,82,0,2.3,clear sky
239,Auxerre,FR,47.8,3.5667,64.63,96,62,7.38,broken clouds
240,Gazojak,TM,41.1875,61.4036,86.43,18,70,16.13,broken clouds
241,Korla,CN,41.7597,86.1469,86.9,16,100,8.14,light rain
242,Durban,ZA,-29.8579,31.0292,63.01,89,99,3.0,overcast clouds
243,Flinders,AU,-34.5833,150.8552,62.38,79,99,4.0,overcast clouds
244,Coihaique,CL,-45.5752,-72.0662,32.61,74,0,4.61,clear sky
245,Padang,ID,-0.9492,100.3543,86.05,82,100,2.73,overcast clouds
246,Lagoa,PT,39.05,-27.9833,62.44,73,69,20.27,broken clouds
247,Gat,IL,31.61,34.7642,75.07,100,0,1.83,clear sky
248,Vichy,FR,46.25,3.5833,67.1,98,33,0.94,scattered clouds
249,Semey,KZ,50.4111,80.2275,80.82,36,0,4.47,clear sky
250,Belaya Gora,RU,68.5333,146.4167,48.67,57,76,21.77,broken clouds
251,Pangnirtung,CA,66.1451,-65.7125,35.19,74,46,4.18,scattered clouds
252,Vostok,RU,46.4856,135.8833,69.12,49,58,7.36,broken clouds
253,Fortuna,US,40.5982,-124.1573,56.93,83,100,5.01,overcast clouds
254,Baghdad,IQ,33.3406,44.4009,96.71,21,0,9.22,clear sky
255,Martapura,ID,-3.4167,114.85,89.69,58,40,8.05,scattered clouds
256,Takoradi,GH,4.8845,-1.7554,75.15,91,95,2.84,light rain
257,Nizwa,OM,22.9333,57.5333,96.19,29,1,3.78,clear sky
258,Yar-Sale,RU,66.8333,70.8333,71.37,57,87,7.81,overcast clouds
259,Rimbey,CA,52.6334,-114.2353,53.62,92,91,8.12,overcast clouds
260,Jackson,US,42.4165,-122.8345,58.15,68,0,3.44,clear sky
261,Hashtrud,IR,37.4779,47.0508,71.49,50,0,8.86,clear sky
262,Obninsk,RU,55.0969,36.6103,53.46,97,100,2.68,overcast clouds
263,Inhambane,MZ,-23.865,35.3833,66.76,79,5,5.79,clear sky
264,Pisco,PE,-13.7,-76.2167,59.05,88,40,3.44,mist
265,Abbotsford,CA,49.058,-122.2526,56.97,86,75,5.75,broken clouds
266,Minudasht,IR,37.2289,55.3747,80.92,57,40,4.61,scattered clouds
267,Egvekinot,RU,66.3167,-179.1667,36.93,97,100,6.4,light rain
268,Buraydah,SA,26.326,43.975,99.05,9,4,11.56,clear sky
269,Vardo,NO,70.3705,31.1107,42.78,100,100,3.44,overcast clouds
270,Konde,TZ,-4.95,39.75,77.25,73,96,10.87,overcast clouds
271,Batticaloa,LK,7.7102,81.6924,85.82,66,92,3.4,overcast clouds
272,Luwuk,ID,-0.9516,122.7875,79.9,82,99,4.32,overcast clouds
