City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Nikolayevka,RU,2022-06-19 03:04:48,53.1257,47.2041,59.61,78,35,5.21
160,Galesong,ID,2022-06-19 03:04:49,-5.3166,119.3661,84.22,69,29,2.37
161,Georgetown,MY,2022-06-19 03:00:36,5.4112,100.3354,84.13,79,20,0.0
162,Carnarvon,AU,2022-06-19 03:04:49,-24.8667,113.6333,69.33,56,69,10.51
163,Tilichiki,RU,2022-06-19 03:04:49,60.4667,166.1,48.63,73,100,4.47
164,Valparaiso,CL,2022-06-19 03:00:23,-33.0393,-71.6273,53.47,76,0,2.3
165,Upernavik,GL,2022-06-19 03:04:50,72.7868,-56.1549,33.98,86,100,27.6
166,Batouri,CM,2022-06-19 03:04:50,4.4333,14.3667,66.76,94,99,1.92
167,Tautira,PF,2022-06-19 03:01:32,-17.7333,-149.15,78.24,76,79,20.69
168,Singleton,AU,2022-06-19 03:04:51,-32.5667,151.1833,59.49,68,99,2.39
169,Palmer,US,2022-06-19 03:01:03,42.1584,-72.3287,53.58,74,100,1.99
170,Hammerfest,NO,2022-06-19 03:04:51,70.6634,23.6821,50.45,71,75,4.61
171,Avera,US,2022-06-19 03:04:51,33.194,-82.5271,82.45,24,8,14.23
172,Rudbar,AF,2022-06-19 03:04:52,30.15,62.6,87.01,12,0,19.24
173,Itarema,BR,2022-06-19 03:04:52,-2.9248,-39.9167,75.24,86,95,10.09
174,Rincon,US,2022-06-19 03:01:04,32.296,-81.2354,85.86,74,40,5.75
175,Severo-Kurilsk,RU,2022-06-19 03:04:53,50.6789,156.125,47.61,95,100,2.06
176,Carballo,ES,2022-06-19 03:04:53,43.213,-8.691,61.9,89,100,2.57
177,Sofiyivka,UA,2022-06-19 03:04:53,48.0493,33.8746,57.6,89,0,5.91
178,Salalah,OM,2022-06-19 03:04:54,17.0151,54.0924,81.48,87,91,8.32
179,Beyneu,KZ,2022-06-19 03:04:54,45.3167,55.2,76.89,48,3,9.24
180,Hofn,IS,2022-06-19 03:04:54,64.2539,-15.2082,49.32,64,42,5.41
181,Qaqortoq,GL,2022-06-19 03:05:55,60.7167,-46.0333,43.72,99,100,1.9
182,Makhu,IN,2022-06-19 03:05:55,31.1033,74.9978,85.71,46,0,6.78
183,Vilcun,CL,2022-06-19 03:02:16,-38.65,-72.2333,42.66,89,100,3.47
184,Airai,TL,2022-06-19 03:05:55,-8.9266,125.4092,71.82,50,7,4.23
185,Bastrop,US,2022-06-19 03:02:00,32.7562,-91.8724,82.08,90,19,6.46
186,Green Valley,US,2022-06-19 03:05:56,31.8543,-110.9937,86.07,51,17,9.64
187,Perth,AU,2022-06-19 03:05:56,-31.9333,115.8333,65.66,74,40,14.97
188,Tuatapere,NZ,2022-06-19 03:05:57,-46.1333,167.6833,48.49,79,83,5.06
189,Bathsheba,BB,2022-06-19 03:05:57,13.2167,-59.5167,81.21,74,20,19.57
190,Bandar-E Lengeh,IR,2022-06-19 03:05:57,26.5579,54.8807,92.1,59,0,9.37
191,Bandarbeyla,SO,2022-06-19 03:05:58,9.4942,50.8122,80.19,55,41,24.27
192,Urusha,RU,2022-06-19 03:05:58,54.05,122.9,73.36,35,71,4.16
193,Byumba,RW,2022-06-19 03:05:58,-1.5763,30.0675,57.4,85,100,3.91
194,Kudahuvadhoo,MV,2022-06-19 03:05:59,2.6708,72.8944,82.98,71,97,7.27
195,Pudozh,RU,2022-06-19 03:05:59,61.8099,36.5345,49.24,92,100,7.23
196,Abha,SA,2022-06-19 03:05:59,18.2164,42.5053,69.48,31,62,0.4
197,Mahibadhoo,MV,2022-06-19 03:06:00,3.7833,72.9667,82.76,73,78,7.9
198,Goldap,PL,2022-06-19 03:06:00,54.3063,22.3036,55.51,95,25,6.55
199,Zima,RU,2022-06-19 03:06:00,53.9202,102.0442,71.19,52,46,0.38
200,Katsina,NG,2022-06-19 03:06:01,12.9894,7.6006,80.47,54,53,7.92
201,Suez,EG,2022-06-19 03:06:01,29.9737,32.5263,68.72,77,0,8.52
202,Cam Ranh,VN,2022-06-19 03:06:01,11.9214,109.1591,89.56,55,20,5.75
203,Payakumbuh,ID,2022-06-19 03:06:02,-0.2202,100.6308,81.97,63,19,1.39
204,Huambo,AO,2022-06-19 03:06:02,-12.7761,15.7392,50.16,52,100,0.94
205,Vostok,RU,2022-06-19 03:06:03,46.4856,135.8833,63.21,85,66,6.58
206,Mananjary,MG,2022-06-19 03:04:01,-21.2167,48.3333,66.07,89,70,6.67
207,Okhotsk,RU,2022-06-19 03:06:03,59.3833,143.3,48.83,83,90,8.59
208,Acari,PE,2022-06-19 03:06:03,-15.4311,-74.6158,62.33,73,26,2.46
209,Aksu,CN,2022-06-19 03:06:04,41.1231,80.2644,66.09,58,100,21.74
210,San Angelo,US,2022-06-19 03:03:44,31.4638,-100.437,90.54,26,0,8.05
211,Moulins,FR,2022-06-19 03:06:04,46.5,3.3333,70.12,47,100,4.56
212,Vila,PT,2022-06-19 03:06:05,42.0304,-8.1588,50.88,93,96,2.33
213,Tacuarembo,UY,2022-06-19 03:01:09,-31.7333,-55.9833,38.57,68,0,5.46
214,Wilmington,US,2022-06-19 03:06:05,34.2257,-77.9447,78.93,49,0,9.22
215,Sobolevo,RU,2022-06-19 03:06:05,54.4299,31.8996,56.89,89,100,10.22
216,Puga,MX,2022-06-19 03:06:06,21.5833,-104.8167,71.71,86,93,2.95
217,Saint George,US,2022-06-19 03:06:06,37.1041,-113.5841,84.79,8,0,12.66
218,Severo-Yeniseyskiy,RU,2022-06-19 03:06:06,60.3725,93.0408,66.4,58,59,3.47
219,Kampene,CD,2022-06-19 03:06:07,-3.6,26.6667,64.81,99,100,1.74
220,Pisco,PE,2022-06-19 03:06:07,-13.7,-76.2167,55.45,88,2,3.44
221,Port-Gentil,GA,2022-06-19 03:06:07,-0.7193,8.7815,74.26,82,53,10.42
222,Olafsvik,IS,2022-06-19 03:06:08,64.8945,-23.7142,48.38,87,100,17.74
223,Cockburn Town,TC,2022-06-19 03:03:58,21.4612,-71.1419,81.7,79,100,13.91
224,Codo,BR,2022-06-19 03:01:18,-4.4553,-43.8856,72.37,86,80,2.98
225,Casambalangan,PH,2022-06-19 03:06:08,18.3765,122.1274,88.79,65,54,1.72
226,Mitu,CO,2022-06-19 03:05:12,1.1983,-70.1733,70.56,99,24,0.76
227,Rawlins,US,2022-06-19 03:06:09,41.7911,-107.2387,69.69,32,100,31.07
228,Namatanai,PG,2022-06-19 03:07:09,-3.6667,152.4333,84.54,67,36,3.83
229,Dayong,CN,2022-06-19 03:07:09,25.0209,118.2898,88.5,61,78,7.05
230,Shingu,JP,2022-06-19 03:07:10,33.7333,135.9833,78.91,72,100,5.66
231,Ankazobe,MG,2022-06-19 03:07:10,-18.3167,47.1167,54.45,92,66,4.88
232,San Vicente,AR,2022-06-19 03:04:26,-26.6167,-54.1333,37.67,91,1,3.29
233,Fortuna,US,2022-06-19 03:07:10,40.5982,-124.1573,60.91,72,0,4.0
234,Sinnamary,GF,2022-06-19 03:07:11,5.3833,-52.95,77.27,88,33,9.04
235,Bartica,GY,2022-06-19 03:07:11,6.4,-58.6167,77.32,99,82,2.15
236,Pingliang,CN,2022-06-19 03:07:11,35.5392,106.6861,79.99,42,96,8.52
237,Tazovskiy,RU,2022-06-19 03:07:12,67.4667,78.7,61.54,47,70,13.47
238,Kedrovyy,RU,2022-06-19 03:07:12,56.1667,91.8167,61.21,72,99,5.21
239,Nihommatsu,JP,2022-06-19 03:07:12,37.5833,140.4333,84.36,43,9,6.38
240,Villa Carlos Paz,AR,2022-06-19 03:07:13,-31.4241,-64.4978,51.08,28,3,10.49
241,Sisimiut,GL,2022-06-19 03:07:13,66.9395,-53.6735,39.31,78,97,8.95
242,Chimore,BO,2022-06-19 03:07:13,-16.9833,-65.1333,64.69,77,94,2.42
243,Charters Towers,AU,2022-06-19 03:04:34,-20.1,146.2667,70.45,33,1,6.62
244,Bagotville,AU,2022-06-19 03:07:14,-28.9833,153.4167,66.85,79,62,10.58
245,Faya,SA,2022-06-19 03:07:14,18.3851,42.4509,70.05,27,64,0.45
246,Salto,UY,2022-06-19 03:06:23,-31.3833,-57.9667,47.88,69,0,7.0
247,Guider,CM,2022-06-19 03:07:15,9.9342,13.9486,73.06,79,49,4.81
248,Gotsu,JP,2022-06-19 03:07:15,35.0,132.2167,77.5,73,19,9.08
249,Kota Kinabalu,MY,2022-06-19 03:07:15,5.9749,116.0724,84.18,74,20,3.44
250,Port Hedland,AU,2022-06-19 03:02:37,-20.3167,118.5667,82.45,36,100,13.8
251,Agadir,MA,2022-06-19 03:07:16,30.4202,-9.5982,68.45,78,1,2.8
252,Payo,ID,2022-06-19 03:07:16,-3.7508,103.6372,84.18,64,56,3.22
253,Manyana,BW,2022-06-19 03:07:16,-23.4,21.7167,53.19,34,0,9.6
254,Aksay,RU,2022-06-19 03:07:17,47.26,39.87,65.25,50,11,4.0
255,Kavaratti,IN,2022-06-19 03:07:17,10.5669,72.642,82.6,73,98,11.63
256,Narsaq,GL,2022-06-19 03:07:18,60.9167,-46.05,48.42,98,100,4.14
257,Taoudenni,ML,2022-06-19 03:07:18,22.6783,-3.9836,90.28,37,100,6.55
258,Wajid,SO,2022-06-19 03:07:19,3.8093,43.2471,69.19,84,74,13.85
259,Bayan,CN,2022-06-19 03:07:19,46.0833,127.4,79.95,40,6,8.16
260,Bijar,IR,2022-06-19 03:07:17,35.8668,47.6051,62.6,65,0,4.74
261,Hobyo,SO,2022-06-19 03:07:19,5.3505,48.5268,77.18,74,95,21.59
262,Teknaf,BD,2022-06-19 03:07:20,20.8624,92.3058,79.09,88,100,5.44
263,Batticaloa,LK,2022-06-19 03:06:15,7.7102,81.6924,82.56,74,100,4.32
264,Zhangye,CN,2022-06-19 03:07:20,38.9342,100.4517,74.12,34,99,10.6
265,Houma,US,2022-06-19 03:07:21,29.5958,-90.7195,84.2,81,0,3.44
266,Botou,CN,2022-06-19 03:07:21,38.0667,116.5667,92.05,38,1,11.03
267,Tabuk,PH,2022-06-19 03:07:22,17.4189,121.4443,87.3,68,79,5.41
268,Leningradskiy,RU,2022-06-19 03:04:59,69.3833,178.4167,43.52,76,70,10.87
269,Dawei,MM,2022-06-19 03:08:22,14.0833,98.2,85.8,70,77,5.28
270,Port Arthur,CN,2022-06-19 03:08:23,38.8,121.2667,73.62,34,2,12.46
271,Soma,TR,2022-06-19 03:08:23,39.1855,27.6094,62.02,86,27,10.38
